fold,comparison_group_type,comparison_group,adni_group_n,oasis_n,sliced_wasserstein,bures_wasserstein_ledoitwolf
1,all_adni_trainDev,all,317,180,0.3379525429034219,11.490258089951919
1,manufacturer,GE,97,180,0.3861124614350503,12.999843507283215
1,manufacturer,Philips,116,180,0.3671000402706405,12.971241951972548
1,manufacturer,SIEMENS,104,180,0.3344834207035874,12.44234427236276
2,all_adni_trainDev,all,317,180,0.36839542499195455,11.754584355618977
2,manufacturer,GE,97,180,0.3990579598435712,13.13296464287638
2,manufacturer,Philips,116,180,0.40151617117585525,13.200085401791963
2,manufacturer,SIEMENS,104,180,0.3704064488029586,12.849740668192302
3,all_adni_trainDev,all,318,180,0.3370119443335956,11.479710001736754
3,manufacturer,GE,98,180,0.3836134810289098,12.829625543398258
3,manufacturer,Philips,116,180,0.37501149855600724,13.164912432126572
3,manufacturer,SIEMENS,104,180,0.3330857993371421,12.446477992828958
4,all_adni_trainDev,all,318,180,0.36378931351804233,11.51935458424522
4,manufacturer,GE,98,180,0.38905940245418613,12.65330206472065
4,manufacturer,Philips,116,180,0.4124885636862097,13.592549343218527
4,manufacturer,SIEMENS,104,180,0.36758487828056824,12.361735896370872
5,all_adni_trainDev,all,318,180,0.3372808478943722,11.880874463087453
5,manufacturer,GE,98,180,0.3705800155326998,13.186274933522924
5,manufacturer,Philips,116,180,0.36016930321371976,13.231722332455247
5,manufacturer,SIEMENS,104,180,0.3473807758037593,13.016780280155066
