fold,Manufacturer,train_n,test_n,train_sites_n,test_sites_n,balanced_accuracy,macro_f1
1,GE,95,24,12,8,0.175,0.12272727272727273
1,Philips,115,28,16,13,0.12179487179487179,0.09285714285714286
1,SIEMENS,99,23,11,7,0.15476190476190474,0.10802469135802469
2,GE,96,25,13,10,0.13333333333333333,0.10634920634920635
2,Philips,115,28,16,12,0.14583333333333334,0.11672942442173212
2,SIEMENS,99,24,11,10,0.40499999999999997,0.32166666666666666
3,GE,97,24,13,9,0.14814814814814814,0.10284664830119375
3,Philips,115,28,16,13,0.07564102564102565,0.06486729644624381
3,SIEMENS,101,24,12,8,0.24999999999999997,0.21904761904761905
4,GE,98,23,13,10,0.1,0.09090909090909091
4,Philips,116,29,17,12,0.16111111111111112,0.12222222222222222
4,SIEMENS,100,24,12,9,0.35185185185185186,0.3142857142857143
5,GE,96,21,11,7,0.29523809523809524,0.20248917748917747
5,Philips,115,28,16,13,0.15384615384615385,0.10510204081632654
5,SIEMENS,103,24,13,9,0.3444444444444444,0.26631393298059963
