SiteCode,total_n,cn_n,ad_n,mci_n,manufacturer_n,supervised_n,supervised_cn_n,supervised_ad_n,test_n,geometry_supported,site_auc_supported,loso_supported
130,55,21,13,21,1,34.0,21.0,13.0,34.0,True,True,True
035,32,15,5,12,1,20.0,15.0,5.0,20.0,True,True,True
006,32,9,5,18,1,14.0,9.0,5.0,14.0,True,False,False
002,30,17,0,13,2,17.0,17.0,0.0,17.0,True,False,False
003,30,18,2,10,1,20.0,18.0,2.0,20.0,True,False,False
127,25,17,2,6,1,19.0,17.0,2.0,19.0,True,False,False
013,24,6,3,15,2,9.0,6.0,3.0,9.0,False,False,False
014,22,18,0,4,1,18.0,18.0,0.0,18.0,True,False,False
019,22,4,8,10,1,12.0,4.0,8.0,12.0,True,False,False
027,21,13,4,4,1,17.0,13.0,4.0,17.0,True,True,False
031,20,5,1,14,1,6.0,5.0,1.0,6.0,False,False,False
100,20,13,2,5,1,15.0,13.0,2.0,15.0,True,False,False
032,19,12,3,4,1,15.0,12.0,3.0,15.0,True,True,False
018,19,7,4,8,1,11.0,7.0,4.0,11.0,True,False,False
021,18,16,0,2,1,16.0,16.0,0.0,16.0,True,False,False
129,18,15,2,1,1,17.0,15.0,2.0,17.0,True,False,False
011,15,10,2,3,1,12.0,10.0,2.0,12.0,True,False,False
135,15,5,6,4,1,11.0,5.0,6.0,11.0,True,False,False
305,14,4,3,7,1,7.0,4.0,3.0,7.0,False,False,False
053,13,1,3,9,1,4.0,1.0,3.0,4.0,False,False,False
