parameter,fast300_value,greedy900_value,changed
epochs_vae,300,900,True
beta_cycles,4,12,True
lr_scheduler_T0,30,30,False
latent_dim,128,128,False
beta_vae,2.5,2.5,False
outer_folds,3,3,False
seed,42,42,False
early_stopping_patience_vae,30,30,False
cyclical_beta_ratio,0.4,0.4,False
dropout_vae,0.15,0.15,False
batch_size,64,64,False
metric,auc,auc,False
norm_mode,zscore_offdiag,zscore_offdiag,False
classifier_use_class_weight,True,True,False
vae_abort_if_val_split_fails,True,True,False
strict_metadata_intersection,True,True,False
beta_cycle_length_epochs,75.0,75.0,False
lr_cycle_length_epochs,30,30,False
