group_type,group,n,within_radius_mean
manufacturer,GE,122,14.771824836730957
manufacturer,Philips,145,14.65124797821045
manufacturer,SIEMENS,130,14.58203125
site,-1,163,14.787421226501465
site,10,2,10.814043045043945
site,100,13,14.265960693359375
site,11,12,13.785784721374512
site,114,3,12.243901252746582
site,116,2,9.699297904968262
site,12,2,10.681905746459961
site,123,6,13.08285903930664
site,126,2,9.677553176879883
site,127,2,11.431788444519043
site,129,2,10.274538040161133
site,13,7,13.829765319824219
site,130,33,14.44398307800293
site,131,1,0.0
site,135,6,13.736026763916016
site,136,5,13.352067947387695
site,14,18,14.507914543151855
site,168,8,13.305102348327637
site,177,6,13.398417472839355
site,18,10,13.739789009094238
site,19,12,13.986891746520996
site,2,9,13.95786190032959
site,22,1,0.0
site,27,4,11.787360191345215
site,3,20,14.125173568725586
site,301,4,12.718751907348633
site,305,7,13.826655387878418
site,31,6,13.870659828186035
site,32,3,12.093256950378418
site,35,4,12.936437606811523
site,53,4,12.596945762634277
site,57,2,9.699966430664062
site,6,14,13.917372703552246
site,82,1,0.0
site,98,3,12.48385238647461
