fold,comparison_group_type,comparison_group,adni_group_n,oasis_n,sliced_wasserstein,bures_wasserstein_ledoitwolf
1,all_adni_trainDev,all,317,180,0.3379525429034219,11.490258089951919
1,manufacturer,GE,97,180,0.3861124614350503,12.999843507283215
1,manufacturer,Philips,116,180,0.3671000402706405,12.971241951972548
1,manufacturer,SIEMENS,104,180,0.3344834207035874,12.44234427236276
1,site,002,14,180,0.44942665655676795,14.873240551371497
1,site,003,17,180,0.40667057495992875,14.133216218706805
1,site,006,10,180,0.4986757762024442,15.69399508193952
1,site,011,12,180,0.41077476365158355,14.911432392006208
1,site,014,14,180,0.44425018934549,14.59662901323222
1,site,021,13,180,0.45454271439097116,14.144714525004147
1,site,027,12,180,0.5404269274621543,16.023927142747915
1,site,032,11,180,0.4805853452748209,15.20369169323297
1,site,035,16,180,0.4304899278165639,14.55176922841003
1,site,099,10,180,0.5158750929469568,15.86153800685168
1,site,100,11,180,0.4970127569849824,16.291341506596858
1,site,127,15,180,0.5130324096271037,15.54324209777553
1,site,129,16,180,0.3866609770422703,14.145042558006804
1,site,130,30,180,0.40756108144472014,14.64044868618943
2,all_adni_trainDev,all,317,180,0.36839542499195455,11.754584355618977
2,manufacturer,GE,97,180,0.3990579598435712,13.13296464287638
2,manufacturer,Philips,116,180,0.40151617117585525,13.200085401791963
2,manufacturer,SIEMENS,104,180,0.3704064488029586,12.849740668192302
2,site,002,14,180,0.4696740936886036,15.255358313209332
2,site,003,17,180,0.48425261885323334,15.378270362901045
2,site,006,11,180,0.48196975181318075,15.426838005645486
2,site,011,11,180,0.5326791657890122,15.774510284484439
2,site,014,14,180,0.4058073819807731,14.117771415012566
2,site,021,15,180,0.41802067198387804,14.1481563372306
2,site,027,14,180,0.46551369168777,15.171059141399443
2,site,032,13,180,0.4930294290044738,15.659148093731316
2,site,035,15,180,0.41320135607312625,13.996897097060398
2,site,100,11,180,0.4328063309642728,14.590222163028225
2,site,127,17,180,0.5280431704647688,15.86107290595039
2,site,129,11,180,0.4846761707503502,15.62091830097519
2,site,130,30,180,0.44275431225531137,14.485486069392737
3,all_adni_trainDev,all,318,180,0.3370119443335956,11.479710001736754
3,manufacturer,GE,98,180,0.3836134810289098,12.829625543398258
3,manufacturer,Philips,116,180,0.37501149855600724,13.164912432126572
3,manufacturer,SIEMENS,104,180,0.3330857993371421,12.446477992828958
3,site,002,14,180,0.4268353557497705,14.63197040975589
3,site,003,14,180,0.45011781326020445,15.596909935346025
3,site,006,10,180,0.4695424077442092,14.933426431077121
3,site,014,16,180,0.36718712013225224,13.552683407263821
3,site,018,11,180,0.46258631649523096,15.866768511970141
3,site,019,11,180,0.5376671942255563,16.200215316605806
3,site,021,13,180,0.431467120773783,14.537367509393517
3,site,027,14,180,0.4606515890122497,15.11005609261062
3,site,032,12,180,0.45718190270214193,15.196051729288403
3,site,035,16,180,0.3926675431895091,14.46599449271469
3,site,100,12,180,0.4557848619034076,15.137444178770776
3,site,127,14,180,0.5078940932806092,15.387614434667128
3,site,129,14,180,0.4741048478966169,15.140424433735236
3,site,130,24,180,0.4379018331698878,14.805905075141556
3,site,135,10,180,0.5411853657237309,16.041307596472116
4,all_adni_trainDev,all,318,180,0.36378931351804233,11.51935458424522
4,manufacturer,GE,98,180,0.38905940245418613,12.65330206472065
4,manufacturer,Philips,116,180,0.4124885636862097,13.592549343218527
4,manufacturer,SIEMENS,104,180,0.36758487828056824,12.361735896370872
4,site,002,13,180,0.484082009612418,15.825662943444708
4,site,003,17,180,0.47116095815707637,14.855143508485849
4,site,006,13,180,0.5061056892426319,15.32411853829396
4,site,014,14,180,0.4214606825857954,14.296548825709571
4,site,021,13,180,0.436564531788901,14.02691748635935
4,site,027,16,180,0.46952183250571145,14.224672367720403
4,site,032,11,180,0.4484417500627377,14.770561211844594
4,site,035,18,180,0.40161255181891176,14.074418095217121
4,site,100,13,180,0.48192360573480897,15.01015421260471
4,site,127,13,180,0.4963596087757618,15.855279594552492
4,site,129,15,180,0.4861360942926952,15.904593959156424
4,site,130,24,180,0.46023870815927836,15.211208776509094
5,all_adni_trainDev,all,318,180,0.3372808478943722,11.880874463087453
5,manufacturer,GE,98,180,0.3705800155326998,13.186274933522924
5,manufacturer,Philips,116,180,0.36016930321371976,13.231722332455247
5,manufacturer,SIEMENS,104,180,0.3473807758037593,13.016780280155066
5,site,002,13,180,0.4100376338372447,13.824905289909196
5,site,003,15,180,0.4294040678045622,15.153988858388743
5,site,006,12,180,0.4993358030642169,15.421976362188099
5,site,014,14,180,0.4313781927045346,14.452764402539445
5,site,019,10,180,0.4742207089042571,15.5334273705917
5,site,020,10,180,0.47787837239643405,15.47858418161339
5,site,021,10,180,0.45385239718842796,14.950818945335886
5,site,027,12,180,0.4142039400612478,14.276921642616255
5,site,032,13,180,0.4536041584768508,15.101887449589979
5,site,035,15,180,0.42005411603353704,14.89572209119467
5,site,100,13,180,0.4568658243225805,15.30493156071936
5,site,127,17,180,0.482835847263842,15.810414492588153
5,site,129,12,180,0.5087960493836767,15.991315596099053
5,site,130,28,180,0.4008282451267867,14.900299806674044
5,site,135,11,180,0.5048560476119367,15.964396283198607
