fold,comparison,pc,w1_pc
1,ADNI_trainDev_vs_OASIS,1,0.8851747778029875
1,ADNI_trainDev_vs_OASIS,2,0.6828309733352088
1,ADNI_trainDev_vs_OASIS,3,0.5580583057769397
1,ADNI_trainDev_vs_OASIS,4,0.9474071594034958
1,ADNI_trainDev_vs_OASIS,5,0.9890222290870109
1,ADNI_trainDev_vs_OASIS,6,0.7177695456431639
1,ADNI_trainDev_vs_OASIS,7,1.1618862475472682
1,ADNI_trainDev_vs_OASIS,8,1.4802399344332988
1,ADNI_trainDev_vs_OASIS,9,0.5677797722296042
1,ADNI_trainDev_vs_OASIS,10,1.6204641297217282
2,ADNI_trainDev_vs_OASIS,1,0.6541163744506533
2,ADNI_trainDev_vs_OASIS,2,1.216535504440634
2,ADNI_trainDev_vs_OASIS,3,1.171356675928859
2,ADNI_trainDev_vs_OASIS,4,0.7857855393686433
2,ADNI_trainDev_vs_OASIS,5,1.24277624242523
2,ADNI_trainDev_vs_OASIS,6,0.9158755106685116
2,ADNI_trainDev_vs_OASIS,7,1.056900035498949
2,ADNI_trainDev_vs_OASIS,8,0.7586820377420124
2,ADNI_trainDev_vs_OASIS,9,0.7777536769974192
2,ADNI_trainDev_vs_OASIS,10,1.172963548024616
3,ADNI_trainDev_vs_OASIS,1,1.1734602176182451
3,ADNI_trainDev_vs_OASIS,2,0.7936191917102917
3,ADNI_trainDev_vs_OASIS,3,0.4843169327062755
3,ADNI_trainDev_vs_OASIS,4,1.042206684700973
3,ADNI_trainDev_vs_OASIS,5,1.6471368924893204
3,ADNI_trainDev_vs_OASIS,6,1.103239540695017
3,ADNI_trainDev_vs_OASIS,7,0.7970523463844488
3,ADNI_trainDev_vs_OASIS,8,0.5836313584839438
3,ADNI_trainDev_vs_OASIS,9,1.2773568468409588
3,ADNI_trainDev_vs_OASIS,10,1.4156361529000656
4,ADNI_trainDev_vs_OASIS,1,0.7457227895166807
4,ADNI_trainDev_vs_OASIS,2,0.4697190271929962
4,ADNI_trainDev_vs_OASIS,3,1.0659755403571123
4,ADNI_trainDev_vs_OASIS,4,1.6019497954471236
4,ADNI_trainDev_vs_OASIS,5,0.6013606225743942
4,ADNI_trainDev_vs_OASIS,6,0.9402262980461723
4,ADNI_trainDev_vs_OASIS,7,0.4916193605365859
4,ADNI_trainDev_vs_OASIS,8,1.8274581841499482
4,ADNI_trainDev_vs_OASIS,9,0.7325276222849542
4,ADNI_trainDev_vs_OASIS,10,1.0449069414434558
5,ADNI_trainDev_vs_OASIS,1,0.8516968126428599
5,ADNI_trainDev_vs_OASIS,2,0.7510535199257166
5,ADNI_trainDev_vs_OASIS,3,1.5017108741767897
5,ADNI_trainDev_vs_OASIS,4,0.6888487827726028
5,ADNI_trainDev_vs_OASIS,5,0.6915547825517595
5,ADNI_trainDev_vs_OASIS,6,0.5746016304171304
5,ADNI_trainDev_vs_OASIS,7,1.0424686632876394
5,ADNI_trainDev_vs_OASIS,8,0.8606701617519492
5,ADNI_trainDev_vs_OASIS,9,0.47753479902827034
5,ADNI_trainDev_vs_OASIS,10,2.5091121996602745
