fold,pair,n_A,n_B,manuf_A,manuf_B,w1_mean_all_dims,w1_max_all_dims,w1_median_all_dims,pca10_w1_mean,gaussian_w2,lw_shrinkage_A,lw_shrinkage_B
1,GE_vs_Philips,25,29,GE,Philips,0.3226830895635663,0.9537758428462486,0.2755381303660567,1.5669215340359823,10.05505039231373,0.6212133250379507,0.596871198528289
1,GE_vs_SIEMENS,25,26,GE,SIEMENS,0.2945926153464072,0.7298391150967866,0.2574982566355782,1.1003737001869802,8.97368266761623,0.6212133250379507,0.6401066277125457
1,Philips_vs_SIEMENS,29,26,Philips,SIEMENS,0.29649505014428396,0.9146503590735497,0.2559038097415325,1.2336072293923281,9.316765554441929,0.596871198528289,0.6401066277125457
2,GE_vs_Philips,25,29,GE,Philips,0.29635795712600854,1.1116409502576727,0.2565319912133312,1.3114723759091262,9.334704227529997,0.6080539713619952,0.6145620963409302
2,GE_vs_SIEMENS,25,26,GE,SIEMENS,0.3155750208851269,0.9765898116512949,0.27821015680438155,1.433455159821539,9.446260027690053,0.6080539713619952,0.6367590523926805
2,Philips_vs_SIEMENS,29,26,Philips,SIEMENS,0.2681153217555654,0.6698821839093532,0.23596916039894772,1.0395049016109357,8.301042015343201,0.6145620963409302,0.6367590523926805
3,GE_vs_Philips,24,29,GE,Philips,0.33277187219357873,0.9905171585472088,0.2884727439571443,1.1698204115031985,9.918366535099544,0.667249479096492,0.576013267513828
3,GE_vs_SIEMENS,24,26,GE,SIEMENS,0.3123085738149818,0.9158901192990263,0.2681325952790993,1.179221638470252,9.30969686096695,0.667249479096492,0.6119445891645683
3,Philips_vs_SIEMENS,29,26,Philips,SIEMENS,0.3038545226295497,0.9801637777199591,0.2631802459979393,1.1165155882150715,9.816987705918544,0.576013267513828,0.6119445891645683
4,GE_vs_Philips,24,29,GE,Philips,0.33142683311273313,1.2433838319452644,0.29371125567243495,1.3230201520314488,10.183891044117363,0.6372184860146424,0.5567310568811189
4,GE_vs_SIEMENS,24,26,GE,SIEMENS,0.3277424894227116,0.9534882174573984,0.2910934591576554,1.2502702978984104,9.5857150523444,0.6372184860146424,0.6315674731888872
4,Philips_vs_SIEMENS,29,26,Philips,SIEMENS,0.3377180014133356,0.9669927919370672,0.299459558938853,1.3224865275916449,10.185867233079936,0.5567310568811189,0.6315674731888872
5,GE_vs_Philips,24,29,GE,Philips,0.31321679869027247,1.0154642001266982,0.2731044862194447,1.1984471183599148,9.351697140108602,0.612697464076695,0.6379824739926988
5,GE_vs_SIEMENS,24,26,GE,SIEMENS,0.30308063662430973,0.9076342491275334,0.2628090527929894,1.1813093024690706,8.791874657781724,0.612697464076695,0.6751751979100968
5,Philips_vs_SIEMENS,29,26,Philips,SIEMENS,0.2679712952836301,0.9388165734165016,0.24592442165974376,0.9024402679372228,8.110099069420489,0.6379824739926988,0.6751751979100968
