fold,pair,pc,w1_pc
1,GE_vs_Philips,1,3.385805840476421
1,GE_vs_Philips,2,1.581982096614827
1,GE_vs_Philips,3,0.6642519151503792
1,GE_vs_Philips,4,0.9711293968151378
1,GE_vs_Philips,5,1.5736291462670702
1,GE_vs_Philips,6,0.8228558328819171
1,GE_vs_Philips,7,2.6045250582495645
1,GE_vs_Philips,8,0.7457781886570244
1,GE_vs_Philips,9,2.3530151522367686
1,GE_vs_Philips,10,0.9662427130107151
1,GE_vs_SIEMENS,1,2.298900598356208
1,GE_vs_SIEMENS,2,2.8529064370265105
1,GE_vs_SIEMENS,3,0.9289390756831282
1,GE_vs_SIEMENS,4,0.39130593521275675
1,GE_vs_SIEMENS,5,0.5626643217615549
1,GE_vs_SIEMENS,6,0.5800106685611186
1,GE_vs_SIEMENS,7,1.6251681172508132
1,GE_vs_SIEMENS,8,0.5920915134479753
1,GE_vs_SIEMENS,9,0.6742415269058774
1,GE_vs_SIEMENS,10,0.4975088076638575
1,Philips_vs_SIEMENS,1,1.4027719285794724
1,Philips_vs_SIEMENS,2,1.3028628381205403
1,Philips_vs_SIEMENS,3,1.399982152437553
1,Philips_vs_SIEMENS,4,0.8087193704050187
1,Philips_vs_SIEMENS,5,1.29805163098094
1,Philips_vs_SIEMENS,6,0.8384098934762568
1,Philips_vs_SIEMENS,7,1.0249351370584472
1,Philips_vs_SIEMENS,8,0.5298815021665894
1,Philips_vs_SIEMENS,9,2.963800595455848
1,Philips_vs_SIEMENS,10,0.7666572452426172
2,GE_vs_Philips,1,2.4445180621019187
2,GE_vs_Philips,2,0.8254535876991046
2,GE_vs_Philips,3,0.7415504348602358
2,GE_vs_Philips,4,1.7983618793104494
2,GE_vs_Philips,5,0.869588987652873
2,GE_vs_Philips,6,1.5670718453753831
2,GE_vs_Philips,7,0.9476085953467877
2,GE_vs_Philips,8,1.7118824665552534
2,GE_vs_Philips,9,0.9999986702715911
2,GE_vs_Philips,10,1.2086892299176677
2,GE_vs_SIEMENS,1,2.8990818571806662
2,GE_vs_SIEMENS,2,0.9311115812368812
2,GE_vs_SIEMENS,3,1.3529190279164343
2,GE_vs_SIEMENS,4,1.387490411702546
2,GE_vs_SIEMENS,5,2.395609569412753
2,GE_vs_SIEMENS,6,2.495292930315766
2,GE_vs_SIEMENS,7,0.6578031293056338
2,GE_vs_SIEMENS,8,0.6863222201560796
2,GE_vs_SIEMENS,9,0.7713592058657254
2,GE_vs_SIEMENS,10,0.7575616651229052
2,Philips_vs_SIEMENS,1,0.7260829566464055
2,Philips_vs_SIEMENS,2,0.4963558897892068
2,Philips_vs_SIEMENS,3,1.6732379325397546
2,Philips_vs_SIEMENS,4,1.1839010391197782
2,Philips_vs_SIEMENS,5,1.5263522264811638
2,Philips_vs_SIEMENS,6,1.0564617950614794
2,Philips_vs_SIEMENS,7,1.2445672597009096
2,Philips_vs_SIEMENS,8,1.1291696183788362
2,Philips_vs_SIEMENS,9,0.5077519343965969
2,Philips_vs_SIEMENS,10,0.8511683639952259
3,GE_vs_Philips,1,2.0560613586264402
3,GE_vs_Philips,2,0.9394488569714838
3,GE_vs_Philips,3,0.5877441440614896
3,GE_vs_Philips,4,0.8933051307138223
3,GE_vs_Philips,5,0.8968004112163792
3,GE_vs_Philips,6,0.9609237279820436
3,GE_vs_Philips,7,0.7488732229690275
3,GE_vs_Philips,8,3.1886625845268535
3,GE_vs_Philips,9,0.5610050629084695
3,GE_vs_Philips,10,0.8653796150559764
3,GE_vs_SIEMENS,1,2.857056892558525
3,GE_vs_SIEMENS,2,0.6365472114767541
3,GE_vs_SIEMENS,3,1.2058450408845176
3,GE_vs_SIEMENS,4,1.0002523410034143
3,GE_vs_SIEMENS,5,1.3693361154286536
3,GE_vs_SIEMENS,6,0.5312135590320433
3,GE_vs_SIEMENS,7,0.8781560531902839
3,GE_vs_SIEMENS,8,1.5763453645067993
3,GE_vs_SIEMENS,9,0.5766929470784278
3,GE_vs_SIEMENS,10,1.1607708595431034
3,Philips_vs_SIEMENS,1,0.8554283435682009
3,Philips_vs_SIEMENS,2,1.2971622429629928
3,Philips_vs_SIEMENS,3,1.0790275463292087
3,Philips_vs_SIEMENS,4,1.17247153162661
3,Philips_vs_SIEMENS,5,1.5322148684851091
3,Philips_vs_SIEMENS,6,0.9869064438210805
3,Philips_vs_SIEMENS,7,0.5640187566876318
3,Philips_vs_SIEMENS,8,1.6123172200200537
3,Philips_vs_SIEMENS,9,0.7345020413955491
3,Philips_vs_SIEMENS,10,1.3311068872542793
4,GE_vs_Philips,1,2.584203524316452
4,GE_vs_Philips,2,1.1459915227095874
4,GE_vs_Philips,3,1.0635149111261724
4,GE_vs_Philips,4,2.2668171200884757
4,GE_vs_Philips,5,1.9920425587423112
4,GE_vs_Philips,6,0.5413402144451742
4,GE_vs_Philips,7,0.9185349670883359
4,GE_vs_Philips,8,0.4784819774893385
4,GE_vs_Philips,9,0.9504027495905075
4,GE_vs_Philips,10,1.2888719747181323
4,GE_vs_SIEMENS,1,0.8142978340466399
4,GE_vs_SIEMENS,2,2.9712922665664747
4,GE_vs_SIEMENS,3,1.3085093471317717
4,GE_vs_SIEMENS,4,1.0335003547335526
4,GE_vs_SIEMENS,5,0.5559504234749497
4,GE_vs_SIEMENS,6,1.6182057893970863
4,GE_vs_SIEMENS,7,0.7349372345254538
4,GE_vs_SIEMENS,8,0.4878654684294187
4,GE_vs_SIEMENS,9,1.7237175907269842
4,GE_vs_SIEMENS,10,1.254426669951773
4,Philips_vs_SIEMENS,1,1.9663003705225484
4,Philips_vs_SIEMENS,2,1.8984978902205478
4,Philips_vs_SIEMENS,3,2.2904908495929575
4,Philips_vs_SIEMENS,4,1.4240839796841605
4,Philips_vs_SIEMENS,5,1.7841596078790156
