fold,rank,latent_dim,w1
1,1,383,1.0520454317041985
1,2,324,0.9576267480721328
1,3,3,0.8764537383024893
1,4,68,0.8728551910245936
1,5,55,0.7718176371129752
1,6,88,0.7317690353970212
1,7,224,0.718256417519657
1,8,301,0.714618782613768
1,9,158,0.7126205148776181
1,10,71,0.7065323803546182
1,11,14,0.7048786542954836
1,12,172,0.7017448668446239
1,13,193,0.698607723903854
1,14,328,0.6882587004377448
1,15,195,0.6842477046634086
1,16,265,0.678168935135997
1,17,206,0.6604458512541871
1,18,63,0.6478839834667506
1,19,49,0.6361743126749162
1,20,199,0.6295136201108836
2,1,119,0.8817804174299609
2,2,311,0.8693268370985332
2,3,82,0.8531292893995099
2,4,250,0.8269022872200515
2,5,213,0.8081411198105891
2,6,374,0.785471861387327
2,7,155,0.7465082157217524
2,8,189,0.7413699925048732
2,9,110,0.7238440017246432
2,10,209,0.7140879912661807
2,11,240,0.7124855430771049
2,12,357,0.7050458247838897
2,13,131,0.7040882181681953
2,14,160,0.6698006684241975
2,15,239,0.6605210490235849
2,16,352,0.6517782207209661
2,17,196,0.6496044773461853
2,18,376,0.6477265599879369
2,19,342,0.6460719301084328
2,20,234,0.6389831665398167
3,1,147,1.1286367996136766
3,2,333,1.114779206623009
3,3,209,0.8641982516610398
3,4,88,0.8440098048770295
3,5,5,0.8337285270124688
3,6,351,0.7794613906359733
3,7,262,0.7263075765457889
3,8,188,0.7231390466407894
3,9,346,0.7210971412336711
3,10,205,0.7174243413081239
3,11,247,0.7173578116306796
3,12,259,0.7134343628688802
3,13,29,0.7089710018069029
3,14,123,0.6892236840682004
3,15,200,0.6743816116082965
3,16,238,0.6703043061962195
3,17,2,0.6689753713049557
3,18,122,0.6514144537183459
3,19,352,0.6489544557202784
3,20,190,0.6439093200434538
4,1,73,0.9868513620762678
4,2,286,0.8818629594967016
4,3,137,0.8496307553636291
4,4,27,0.8396652494172195
4,5,179,0.8391885022772508
4,6,36,0.8325579746440146
4,7,87,0.800416449284294
4,8,358,0.7793320297271142
4,9,307,0.7627266457236688
4,10,57,0.7448503584827748
4,11,299,0.7152373154384395
4,12,276,0.713780045390755
4,13,167,0.7060415815957082
4,14,351,0.6910117115709526
4,15,369,0.6692457592181398
4,16,282,0.6629173532214931
4,17,37,0.6565711970209733
4,18,227,0.6502848433898537
4,19,134,0.6454485338755782
4,20,331,0.6367901080998115
5,1,10,0.9177436530923373
5,2,267,0.7707476812418098
5,3,152,0.7429874581908503
5,4,21,0.7383951314496422
5,5,72,0.7314012689823741
5,6,183,0.7092437238951794
5,7,74,0.7057339600935824
5,8,123,0.6984157879240226
5,9,112,0.6880428928920638
5,10,237,0.6822206618962376
5,11,166,0.6815356022759322
5,12,289,0.6601936539907161
5,13,297,0.6488079503907422
5,14,205,0.6427373769340021
5,15,20,0.6185874023950526
5,16,366,0.6120155335332517
5,17,3,0.607168969561318
5,18,222,0.6063597313325118
5,19,27,0.5956372568829496
5,20,292,0.5885745601711718
