arm,metric,n_folds,mean_delta,sd_delta,min_delta,max_delta,n_folds_arm_lower_than_locked,n_folds_arm_higher_than_locked,per_fold_deltas,validity_note
external_dataset_combat_adni_reference,marginal_shift,5,0.9664898136845632,0.1974176885730603,0.6930244218208388,1.2044759163496006,0,5,"[0.9285271751322746, 0.9023736585623724, 1.104047896557729, 1.2044759163496006, 0.6930244218208388]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_adni_reference,cn_shift,5,0.9248466656304576,0.200934026891798,0.6555350291908306,1.1808290670967805,0,5,"[0.8791646267003146, 0.8553215715819229, 1.0533830335824392, 1.1808290670967803, 0.6555350291908306]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_adni_reference,ad_shift,5,1.0081329617386687,0.1944959720373429,0.7305138144508474,1.228122765602421,0,5,"[0.9778897235642341, 0.9494257455428219, 1.1547127595330196, 1.228122765602421, 0.7305138144508474]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_adni_reference,ad_cn_projected_separation,5,0.0832862961082112,0.0226132164295575,0.0472936985056409,0.1013297259505801,0,5,"[0.09872509686391973, 0.0941041739608992, 0.1013297259505801, 0.04729369850564091, 0.07497878526001645]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_adni_reference,cohens_d,5,0.0019190341540967,0.016503021333692,-0.0222173221367188,0.023022323846349,2,3,"[-0.0013772328002580325, 0.023022323846349002, 0.008994628843624619, -0.022217322136718898, 0.0011727730174869166]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_adni_reference,projected_auc,5,-0.0013827160493827,0.0034317878889315,-0.0067901234567901,0.002716049382716,4,1,"[-0.0004938271604937317, 0.002716049382716079, -0.0008641975308641969, -0.006790123456790198, -0.001481481481481528]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_adni_reference,clinical_alignment_margin,5,1.008132961738669,0.194495972037343,0.7305138144508471,1.2281227656024214,0,5,"[0.9778897235642343, 0.9494257455428221, 1.1547127595330193, 1.2281227656024214, 0.7305138144508471]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_no_reference,marginal_shift,5,0.5722386186154054,0.1084442215026687,0.410964983297448,0.6924902681883964,0,5,"[0.5647131718918352, 0.5448601660300021, 0.6481645036693453, 0.6924902681883964, 0.410964983297448]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_no_reference,cn_shift,5,0.5447886966827913,0.1107005636132405,0.3883823964872714,0.6795848630186043,0,5,"[0.526392309542334, 0.5135726541010113, 0.6160112602647356, 0.6795848630186043, 0.38838239648727146]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_no_reference,ad_shift,5,0.5996885405480197,0.1070551884197027,0.433547570107625,0.7053956733581885,0,5,"[0.6030340342413361, 0.5761476779589931, 0.6803177470739556, 0.7053956733581885, 0.433547570107625]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_no_reference,ad_cn_projected_separation,5,0.0548998438652283,0.0197549891028787,0.0258108103395844,0.0766417246990023,0,5,"[0.07664172469900232, 0.06257502385798197, 0.06430648680921991, 0.025810810339584433, 0.04516517362035333]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_no_reference,cohens_d,5,-0.0005372205824242,0.0122603889485132,-0.018711429442688,0.0153022076364416,2,3,"[0.002278953484809443, 0.01530220763644169, 0.0016748860483883354, -0.018711429442688, -0.003230720639072704]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_no_reference,projected_auc,5,-0.0002962962962962,0.0019609819960062,-0.0025925925925927,0.0023456790123457,3,2,"[0.0007407407407409305, 0.002345679012345725, -0.0002469135802467548, -0.002592592592592702, -0.0017283950617282828]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
external_dataset_combat_no_reference,clinical_alignment_margin,5,0.5996885405480198,0.1070551884197028,0.4335475701076248,0.7053956733581888,0,5,"[0.6030340342413362, 0.5761476779589932, 0.6803177470739555, 0.7053956733581888, 0.4335475701076248]",Dataset-ComBat arms and locked transfer share the frozen VAE coordinates; the separately retrained Siemens-ComBat VAE does not.
