arm,fold,manufacturer_balanced_accuracy,macro_f1,permutation_null_mean_bacc,permutation_null_sd_bacc,permutation_p_ge_observed,n_permutations,seed
locked,1,0.6007427055702919,0.5965769521862095,0.33354295313881516,0.05206806032096342,0.000999000999000999,1000,42
clean_foldwise_input_combat,1,0.44728558797524315,0.44665551466488235,0.33457908045977014,0.05237901809709913,0.016983016983016984,1000,42
locked,2,0.636551724137931,0.6325765688584278,0.33215893899204246,0.05102177966486394,0.000999000999000999,1000,42
clean_foldwise_input_combat,2,0.4023342175066313,0.3977079815377688,0.3308170822281168,0.050712466834082544,0.0979020979020979,1000,42
locked,3,0.6898762157382846,0.6762976860537836,0.33396522251694666,0.05301155121896887,0.000999000999000999,1000,42
clean_foldwise_input_combat,3,0.4227085175361038,0.41081871345029236,0.3336191791924551,0.05131707408700121,0.03796203796203796,1000,42
locked,4,0.733384910109048,0.73199290084536,0.3332940981432361,0.05327940282721868,0.000999000999000999,1000,42
clean_foldwise_input_combat,4,0.5295461243737106,0.5251484399025382,0.33467071912761565,0.05107158808736712,0.000999000999000999,1000,42
locked,5,0.668729737695255,0.668944936465152,0.33276709401709403,0.054091963840688824,0.000999000999000999,1000,42
clean_foldwise_input_combat,5,0.4002357795461244,0.4001709973606929,0.33344540229885056,0.054195239883818906,0.1038961038961039,1000,42
clean_minus_locked,1,-0.1534571175950487,-0.1499214375213272,,,,1000,42
clean_minus_locked,2,-0.23421750663129975,-0.23486858732065902,,,,1000,42
clean_minus_locked,3,-0.26716769820218084,-0.26547897260349124,,,,1000,42
clean_minus_locked,4,-0.20383878573533742,-0.20684446094282172,,,,1000,42
clean_minus_locked,5,-0.26849395814913063,-0.26877393910445907,,,,1000,42
