panel,quantity,point_value,error_low,error_high,n_folds,source
A1,manufacturer_bacc_locked,0.6658570586501622,0.615251069571158,0.7164630477291664,5.0,results/sipaim_2026/manufacturer_decoding/cleanrepro_manufacturer_decoding.csv
A1,manufacturer_bacc_input_combat,0.44042204538756263,0.38710788841239174,0.4937362023627335,5.0,results/sipaim_2026/manufacturer_decoding/cleanrepro_manufacturer_decoding.csv
A2,adni_oof_rocauc_locked_pooled,0.7951546391752577,0.7191645865832275,0.871144691767288,5.0,results/sipaim_2026/clean_foldwise_combat_training_and_audit/cleanrepro_paired_bootstrap_vs_locked.csv (point); results/revision_bspc_2026/recover035_latent384_beta3p75_stageB_oof_score_calibration/calib_foldwise_metrics.csv (fold SD)
A2,adni_oof_rocauc_input_combat_pooled,0.7492783505154639,0.6832672320467277,0.8152894689842001,5.0,results/sipaim_2026/clean_foldwise_combat_training_and_audit/cleanrepro_paired_bootstrap_vs_locked.csv (point); results/sipaim_2026/clean_foldwise_combat_training_and_audit/cleanrepro_downstream_foldwise_metrics.csv (fold SD)
A2,adni_oof_rocauc_paired_delta,-0.0458762886597938,-0.0806881443298969,-0.0117517182130584,5.0,results/sipaim_2026/clean_foldwise_combat_training_and_audit/cleanrepro_paired_bootstrap_vs_locked.csv
B,locked_frozen_transfer__abs_marginal_standardized_shift,0.934796534945824,0.8089483062546746,1.0624944158774745,,results/sipaim_2026/standardized_locked_space_geometry_20260712/standardized_shared_geometry.csv
B,locked_frozen_transfer__projected_auc,0.6371604938271606,0.5546882716049383,0.7147037037037036,,results/sipaim_2026/standardized_locked_space_geometry_20260712/standardized_shared_geometry.csv
B,external_dataset_combat_adni_reference__abs_marginal_standardized_shift,0.4728498957296435,0.336540932021544,0.6109265934715399,,results/sipaim_2026/standardized_locked_space_geometry_20260712/standardized_shared_geometry.csv
B,external_dataset_combat_adni_reference__projected_auc,0.6369135802469136,0.555182098765432,0.7153086419753086,,results/sipaim_2026/standardized_locked_space_geometry_20260712/standardized_shared_geometry.csv
B,external_dataset_combat_no_reference__abs_marginal_standardized_shift,0.6612865006069073,0.528278435121784,0.7972691791938753,,results/sipaim_2026/standardized_locked_space_geometry_20260712/standardized_shared_geometry.csv
B,external_dataset_combat_no_reference__projected_auc,0.637037037037037,0.5553055555555555,0.7153086419753086,,results/sipaim_2026/standardized_locked_space_geometry_20260712/standardized_shared_geometry.csv
C,score_locked__CDR 0,0.30845050275996827,0.007665487700791,0.8448579872824729,81.0,results/sipaim_2026/final_blocker_resolution_20260712/oasis_cdr_scan_alignment.csv
C,score_locked__CDR 0.5,0.40620724762542926,0.0247409468719948,0.9391186011964608,51.0,results/sipaim_2026/final_blocker_resolution_20260712/oasis_cdr_scan_alignment.csv
C,score_locked__CDR >= 1 (high severity),0.498401185454329,0.0475604491728322,0.9389299971365468,37.0,results/sipaim_2026/final_blocker_resolution_20260712/oasis_cdr_scan_alignment.csv
C,pairwise_auc_cdr0_vs_ge1,0.7297297297297297,0.6288770053475936,0.8240896132646607,,results/sipaim_2026/final_blocker_resolution_20260712/cdr_temporal_sensitivity_metrics.csv
C,partial_spearman_rho_age_sex_adj,0.2783787922695639,,,,results/sipaim_2026/final_blocker_resolution_20260712/cdr_temporal_sensitivity_metrics.csv
