arm,metric,n_folds,mean_delta,sd_delta,min_delta,max_delta,n_folds_arm_lower_than_locked,n_folds_arm_higher_than_locked,per_fold_deltas
previous_adni_fitted_siemens_combat,marginal_shift,5,1.828327376162893,0.6786712594485586,0.885543291877807,2.5179257716501433,0,5,"[0.885543291877807, 1.6707607174241872, 2.4631246366960333, 2.5179257716501433, 1.6042824631662946]"
previous_adni_fitted_siemens_combat,cn_shift,5,2.2456695584287667,0.8228537003857094,0.9935993430556957,3.155351279558483,0,5,"[0.9935993430556957, 2.2163668987980545, 2.78023879973085, 3.155351279558483, 2.0827914710007494]"
previous_adni_fitted_siemens_combat,ad_shift,5,1.4109851938970195,0.5755586677718342,0.777487240699918,2.1460104736612164,0,5,"[0.777487240699918, 1.12515453605032, 2.1460104736612164, 1.8805002637418036, 1.1257734553318404]"
previous_adni_fitted_siemens_combat,ad_cn_projected_separation,5,-0.834684364531747,0.4175323591837112,-1.2748510158166795,-0.2161121023557775,5,0,"[-0.2161121023557775, -1.0912123627477348, -0.6342283260696342, -1.2748510158166795, -0.9570180156689094]"
previous_adni_fitted_siemens_combat,cohens_d,5,-0.4644293565091814,0.4181511932492148,-0.8739953778995762,-0.0036268769534292256,5,0,"[-0.0036268769534292256, -0.8739953778995762, -0.034439854219978194, -0.8015779416552126, -0.6085067318177105]"
previous_adni_fitted_siemens_combat,projected_auc,5,-0.12787654320987657,0.11476052081457043,-0.2441975308641975,-0.00395061728395063,5,0,"[-0.00395061728395063, -0.2441975308641975, -0.010123456790123497, -0.22271604938271605, -0.15839506172839507]"
previous_adni_fitted_siemens_combat,clinical_alignment_margin,5,1.1689737901712836,0.260606699687659,0.7774872406999183,1.4163272004595744,0,5,"[0.7774872406999183, 1.12515453605032, 1.4163272004595744, 1.4001265183147642, 1.1257734553318401]"
external_dataset_combat_adni_reference,marginal_shift,5,0.9664898136845631,0.19741768857306036,0.6930244218208388,1.2044759163496006,0,5,"[0.9285271751322746, 0.9023736585623724, 1.104047896557729, 1.2044759163496006, 0.6930244218208388]"
external_dataset_combat_adni_reference,cn_shift,5,0.9248466656304576,0.20093402689179807,0.6555350291908306,1.1808290670967803,0,5,"[0.8791646267003146, 0.8553215715819229, 1.0533830335824392, 1.1808290670967803, 0.6555350291908306]"
external_dataset_combat_adni_reference,ad_shift,5,1.0081329617386687,0.1944959720373429,0.7305138144508474,1.228122765602421,0,5,"[0.9778897235642341, 0.9494257455428219, 1.1547127595330196, 1.228122765602421, 0.7305138144508474]"
external_dataset_combat_adni_reference,ad_cn_projected_separation,5,0.08328629610821128,0.022613216429557596,0.04729369850564091,0.1013297259505801,0,5,"[0.09872509686391973, 0.0941041739608992, 0.1013297259505801, 0.04729369850564091, 0.07497878526001645]"
external_dataset_combat_adni_reference,cohens_d,5,0.0019190341540967215,0.01650302133369203,-0.022217322136718898,0.023022323846349002,2,3,"[-0.0013772328002580325, 0.023022323846349002, 0.008994628843624619, -0.022217322136718898, 0.0011727730174869166]"
external_dataset_combat_adni_reference,projected_auc,5,-0.0013827160493827151,0.0034317878889315086,-0.006790123456790198,0.002716049382716079,4,1,"[-0.0004938271604937317, 0.002716049382716079, -0.0008641975308641969, -0.006790123456790198, -0.001481481481481528]"
external_dataset_combat_adni_reference,clinical_alignment_margin,5,1.008132961738669,0.19449597203734306,0.7305138144508471,1.2281227656024214,0,5,"[0.9778897235642343, 0.9494257455428221, 1.1547127595330193, 1.2281227656024214, 0.7305138144508471]"
external_dataset_combat_no_reference,marginal_shift,5,0.5722386186154054,0.10844422150266873,0.410964983297448,0.6924902681883964,0,5,"[0.5647131718918352, 0.5448601660300021, 0.6481645036693453, 0.6924902681883964, 0.410964983297448]"
external_dataset_combat_no_reference,cn_shift,5,0.5447886966827913,0.1107005636132405,0.38838239648727146,0.6795848630186043,0,5,"[0.526392309542334, 0.5135726541010113, 0.6160112602647356, 0.6795848630186043, 0.38838239648727146]"
external_dataset_combat_no_reference,ad_shift,5,0.5996885405480197,0.10705518841970278,0.433547570107625,0.7053956733581885,0,5,"[0.6030340342413361, 0.5761476779589931, 0.6803177470739556, 0.7053956733581885, 0.433547570107625]"
external_dataset_combat_no_reference,ad_cn_projected_separation,5,0.05489984386522839,0.019754989102878737,0.025810810339584433,0.07664172469900232,0,5,"[0.07664172469900232, 0.06257502385798197, 0.06430648680921991, 0.025810810339584433, 0.04516517362035333]"
external_dataset_combat_no_reference,cohens_d,5,-0.0005372205824242471,0.012260388948513275,-0.018711429442688,0.01530220763644169,2,3,"[0.002278953484809443, 0.01530220763644169, 0.0016748860483883354, -0.018711429442688, -0.003230720639072704]"
external_dataset_combat_no_reference,projected_auc,5,-0.00029629629629621677,0.0019609819960062034,-0.002592592592592702,0.002345679012345725,3,2,"[0.0007407407407409305, 0.002345679012345725, -0.0002469135802467548, -0.002592592592592702, -0.0017283950617282828]"
external_dataset_combat_no_reference,clinical_alignment_margin,5,0.5996885405480198,0.10705518841970289,0.4335475701076248,0.7053956733581888,0,5,"[0.6030340342413362, 0.5761476779589932, 0.6803177470739555, 0.7053956733581888, 0.4335475701076248]"
