build_candidate,candidate,role,prediction_level,fold,n,n_cn,n_ad,tn,fp,fn,tp,sensitivity,specificity,balanced_accuracy,f1,predicted_ad_rate,auc,pr_auc
concatenated_timeseries,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,1,180,90,90,68,22,64,26,0.28888888888888886,0.7555555555555555,0.5222222222222221,0.37681159420289856,0.26666666666666666,0.5598765432098765,0.5666988952319878
concatenated_timeseries,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,2,180,90,90,67,23,57,33,0.36666666666666664,0.7444444444444445,0.5555555555555556,0.4520547945205479,0.3111111111111111,0.5717283950617285,0.5610048885986522
concatenated_timeseries,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,3,180,90,90,65,25,63,27,0.3,0.7222222222222222,0.5111111111111111,0.38028169014084506,0.28888888888888886,0.5644444444444445,0.5686777167503756
concatenated_timeseries,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,4,180,90,90,70,20,66,24,0.26666666666666666,0.7777777777777778,0.5222222222222223,0.3582089552238806,0.24444444444444444,0.5801851851851851,0.5551580651589034
concatenated_timeseries,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,5,180,90,90,39,51,36,54,0.6,0.43333333333333335,0.5166666666666666,0.5538461538461539,0.5833333333333334,0.5439506172839506,0.533388273821187
concatenated_timeseries,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,1,180,90,90,70,20,69,21,0.23333333333333334,0.7777777777777778,0.5055555555555555,0.32061068702290074,0.22777777777777777,0.5417283950617283,0.5497612229228604
concatenated_timeseries,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,2,180,90,90,59,31,53,37,0.4111111111111111,0.6555555555555556,0.5333333333333333,0.46835443037974683,0.37777777777777777,0.5871604938271604,0.5605409849465971
concatenated_timeseries,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,3,180,90,90,61,29,61,29,0.32222222222222224,0.6777777777777778,0.5,0.3918918918918919,0.32222222222222224,0.5425925925925926,0.5248718972906156
concatenated_timeseries,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,4,180,90,90,57,33,51,39,0.43333333333333335,0.6333333333333333,0.5333333333333333,0.48148148148148145,0.4,0.527283950617284,0.5287849138073648
concatenated_timeseries,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,5,180,90,90,46,44,46,44,0.4888888888888889,0.5111111111111111,0.5,0.4943820224719101,0.4888888888888889,0.5039506172839506,0.5117884123363945
concatenated_timeseries,promoted_beta3p75_oof_ecdf,primary_model,fold_model,1,180,90,90,75,15,66,24,0.26666666666666666,0.8333333333333334,0.55,0.37209302325581395,0.21666666666666667,0.5992592592592592,0.5871564797683082
concatenated_timeseries,promoted_beta3p75_oof_ecdf,primary_model,fold_model,2,180,90,90,63,27,63,27,0.3,0.7,0.5,0.375,0.3,0.5402469135802469,0.5445595574374896
concatenated_timeseries,promoted_beta3p75_oof_ecdf,primary_model,fold_model,3,180,90,90,76,14,74,16,0.17777777777777778,0.8444444444444444,0.5111111111111111,0.26666666666666666,0.16666666666666666,0.5711111111111112,0.5651480930114483
concatenated_timeseries,promoted_beta3p75_oof_ecdf,primary_model,fold_model,4,180,90,90,69,21,64,26,0.28888888888888886,0.7666666666666667,0.5277777777777778,0.3795620437956204,0.2611111111111111,0.5680246913580247,0.5882597760620334
concatenated_timeseries,promoted_beta3p75_oof_ecdf,primary_model,fold_model,5,180,90,90,48,42,44,46,0.5111111111111111,0.5333333333333333,0.5222222222222221,0.5168539325842697,0.4888888888888889,0.5464814814814815,0.5226267832548068
