build_candidate,candidate,role,prediction_level,fold,n,n_cn,n_ad,tn,fp,fn,tp,sensitivity,specificity,balanced_accuracy,f1,predicted_ad_rate,auc,pr_auc
concatenated_timeseries,latent512_beta3p75_oof_ecdf,external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,67,23,60,30,0.3333333333333333,0.7444444444444445,0.5388888888888889,0.4195804195804196,0.29444444444444445,0.5648148148148148,0.5676052755180125
concatenated_timeseries,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,59,31,54,36,0.4,0.6555555555555556,0.5277777777777778,0.4585987261146497,0.37222222222222223,0.541358024691358,0.5337057254148752
concatenated_timeseries,promoted_beta3p75_oof_ecdf,primary_model,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,69,21,69,21,0.23333333333333334,0.7666666666666667,0.5,0.3181818181818182,0.23333333333333334,0.5753086419753086,0.5824195621211896
concatenated_timeseries,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,63,27,56,34,0.37777777777777777,0.7,0.5388888888888889,0.4503311258278146,0.3388888888888889,0.5788888888888889,0.5840139990649844
runwise164_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,79,11,65,25,0.2777777777777778,0.8777777777777778,0.5777777777777777,0.3968253968253968,0.2,0.6456790123456791,0.6511486256736343
runwise164_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,75,15,64,26,0.28888888888888886,0.8333333333333334,0.5611111111111111,0.3969465648854962,0.22777777777777777,0.638641975308642,0.6423843836191645
runwise164_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,78,12,66,24,0.26666666666666666,0.8666666666666667,0.5666666666666667,0.38095238095238093,0.2,0.6477777777777778,0.6678376160483931
runwise164_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,74,16,61,29,0.32222222222222224,0.8222222222222222,0.5722222222222222,0.42962962962962964,0.25,0.640925925925926,0.6601047243183988
runwise_140TR_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,77,13,63,27,0.3,0.8555555555555555,0.5777777777777777,0.4153846153846154,0.2222222222222222,0.6293827160493827,0.6391430914121549
runwise_140TR_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,73,17,64,26,0.28888888888888886,0.8111111111111111,0.55,0.39097744360902253,0.2388888888888889,0.6239506172839507,0.6254698414931343
runwise_140TR_pilot_parity,promoted_beta3p75_oof_ecdf,primary_model,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,78,12,68,22,0.24444444444444444,0.8666666666666667,0.5555555555555556,0.3548387096774194,0.18888888888888888,0.6312345679012346,0.6509594790630452
runwise_140TR_pilot_parity,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,ensemble_mean_score_majority_vote,ensemble_mean_score_majority_vote,180,90,90,73,17,60,30,0.3333333333333333,0.8111111111111111,0.5722222222222222,0.43795620437956206,0.2611111111111111,0.6282716049382716,0.6516707496483135
