fold,SiteCode,n,TN,FP,FN,TP,error_rate
1,002,3,2,1,0,0,0.3333333333333333
1,003,3,3,0,0,0,0.0
1,005,2,2,0,0,0,0.0
1,006,4,3,0,1,0,0.25
1,009,1,1,0,0,0,0.0
1,012,1,0,1,0,0,1.0
1,013,1,0,0,0,1,0.0
1,014,4,3,1,0,0,0.25
1,018,3,0,2,0,1,0.6666666666666666
1,019,3,1,0,0,2,0.0
1,020,2,1,1,0,0,0.5
1,021,3,2,1,0,0,0.3333333333333333
1,024,2,1,1,0,0,0.5
1,027,5,4,1,0,0,0.2
1,031,1,0,1,0,0,1.0
1,032,4,1,2,0,1,0.5
1,035,4,4,0,0,0,0.0
1,053,1,0,0,0,1,0.0
1,057,1,0,0,1,0,1.0
1,098,3,1,1,1,0,0.6666666666666666
1,100,4,2,2,0,0,0.5
1,116,1,0,0,1,0,1.0
1,123,2,1,1,0,0,0.5
1,127,4,3,0,1,0,0.25
1,129,1,1,0,0,0,0.0
1,130,4,1,1,0,2,0.25
1,131,1,0,1,0,0,1.0
1,135,5,1,2,0,2,0.4
1,168,4,0,0,2,2,0.5
1,301,2,0,1,0,1,0.5
1,305,1,1,0,0,0,0.0
2,002,3,3,0,0,0,0.0
2,003,3,2,1,0,0,0.3333333333333333
2,006,3,1,1,0,1,0.3333333333333333
2,009,1,1,0,0,0,0.0
2,010,1,1,0,0,0,0.0
2,011,1,0,0,1,0,1.0
2,013,1,0,0,0,1,0.0
2,014,4,4,0,0,0,0.0
2,018,3,2,0,0,1,0.0
2,019,3,1,0,0,2,0.0
2,020,3,2,1,0,0,0.3333333333333333
2,021,1,1,0,0,0,0.0
2,022,1,0,0,0,1,0.0
2,024,1,0,1,0,0,1.0
2,027,3,1,1,0,1,0.3333333333333333
2,029,1,1,0,0,0,0.0
2,031,1,0,1,0,0,1.0
2,032,2,1,1,0,0,0.5
2,035,5,2,2,0,1,0.4
2,053,2,0,1,0,1,0.5
2,098,2,2,0,0,0,0.0
2,099,3,3,0,0,0,0.0
2,100,4,3,1,0,0,0.25
2,116,1,0,0,0,1,0.0
2,123,3,0,2,0,1,0.6666666666666666
2,126,3,3,0,0,0,0.0
2,127,2,2,0,0,0,0.0
2,129,6,5,0,1,0,0.16666666666666666
2,130,4,1,0,0,3,0.0
2,135,3,1,0,1,1,0.3333333333333333
2,136,1,0,1,0,0,1.0
2,168,1,0,0,0,1,0.0
2,177,2,2,0,0,0,0.0
2,301,1,0,1,0,0,1.0
2,305,1,1,0,0,0,0.0
3,002,3,2,1,0,0,0.3333333333333333
3,003,6,4,0,0,2,0.0
3,006,4,1,2,0,1,0.5
3,010,1,0,0,1,0,1.0
3,011,3,3,0,0,0,0.0
3,013,1,0,1,0,0,1.0
3,014,2,1,1,0,0,0.5
3,019,1,0,0,0,1,0.0
3,020,3,3,0,0,0,0.0
3,021,3,3,0,0,0,0.0
3,022,1,1,0,0,0,0.0
3,023,1,1,0,0,0,0.0
3,027,3,1,0,0,2,0.0
3,029,2,2,0,0,0,0.0
3,031,1,1,0,0,0,0.0
3,032,3,2,0,0,1,0.0
3,035,4,1,1,1,1,0.5
3,098,3,3,0,0,0,0.0
3,099,2,2,0,0,0,0.0
3,100,3,2,0,1,0,0.3333333333333333
3,114,1,0,0,0,1,0.0
3,123,1,0,0,1,0,1.0
3,126,2,0,0,2,0,1.0
3,127,5,5,0,0,0,0.0
3,129,3,3,0,0,0,0.0
3,130,10,8,0,0,2,0.0
3,131,1,1,0,0,0,0.0
3,135,1,1,0,0,0,0.0
3,136,1,0,1,0,0,1.0
3,177,1,1,0,0,0,0.0
3,301,1,0,1,0,0,1.0
3,305,2,0,0,1,1,0.5
4,002,4,1,3,0,0,0.75
4,003,3,1,2,0,0,0.6666666666666666
4,005,1,1,0,0,0,0.0
4,006,1,1,0,0,0,0.0
4,009,2,2,0,0,0,0.0
4,010,1,1,0,0,0,0.0
4,011,4,3,0,0,1,0.0
4,013,5,1,3,0,1,0.6
4,014,4,3,1,0,0,0.25
4,018,2,0,1,0,1,0.5
4,019,3,0,1,1,1,0.6666666666666666
4,020,2,2,0,0,0,0.0
4,021,3,3,0,0,0,0.0
4,027,1,1,0,0,0,0.0
4,029,1,0,1,0,0,1.0
4,031,2,0,1,1,0,1.0
4,032,4,2,1,0,1,0.25
4,035,2,1,1,0,0,0.5
4,098,1,0,0,0,1,0.0
4,099,4,4,0,0,0,0.0
4,100,2,1,1,0,0,0.5
4,114,1,0,0,0,1,0.0
4,127,6,3,2,1,0,0.5
4,129,2,2,0,0,0,0.0
4,130,10,5,2,0,3,0.2
4,131,1,0,0,1,0,1.0
4,135,2,0,0,2,0,1.0
4,136,1,1,0,0,0,0.0
4,168,2,0,0,0,2,0.0
4,177,1,1,0,0,0,0.0
4,305,1,0,0,1,0,1.0
5,002,4,1,3,0,0,0.75
5,003,5,5,0,0,0,0.0
5,005,1,1,0,0,0,0.0
5,006,2,0,0,0,2,0.0
5,011,4,3,1,0,0,0.25
5,012,1,1,0,0,0,0.0
5,013,1,0,1,0,0,1.0
5,014,4,3,1,0,0,0.25
5,018,3,1,1,0,1,0.3333333333333333
5,019,2,0,1,0,1,0.5
5,020,1,1,0,0,0,0.0
5,021,6,4,2,0,0,0.3333333333333333
