SiteCode,supported_for_auc,n,n_cn,n_ad,auc,pr_auc,brier,tn,fp,fn,tp,sensitivity,specificity,balanced_accuracy,f1,cn_fpr,ad_fnr,auc_ci_low,auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,bootstrap_n
130,True,34,21,13,0.9120879120879121,0.8999890422967345,0.16913175364773414,17.0,4.0,1.0,12.0,0.9230769230769231,0.8095238095238095,0.8663003663003663,0.8275862068965517,0.19047619047619047,0.07692307692307693,0.7802197802197803,0.9926739926739927,0.7660565137922458,0.9897435897435898,1000
035,True,20,15,5,0.76,0.6788235294117647,0.2584954791146101,9.0,6.0,1.0,4.0,0.8,0.6,0.7,0.5333333333333333,0.4,0.2,0.4133333333333334,0.9866666666666667,0.37526960784313734,0.9666666666666668,1000
027,True,17,13,4,0.8269230769230769,0.5011904761904762,0.21724334410571808,9.0,4.0,0.0,4.0,1.0,0.6923076923076923,0.8461538461538461,0.6666666666666666,0.3076923076923077,0.0,0.5961538461538461,1.0,0.3351799242424242,1.0,1000
032,True,15,12,3,1.0,1.0,0.2575726125748312,7.0,5.0,0.0,3.0,1.0,0.5833333333333334,0.7916666666666667,0.5454545454545454,0.4166666666666667,0.0,0.9999999999999999,1.0,1.0,1.0,1000
003,False,20,18,2,0.9722222222222222,0.8333333333333333,0.16083850060228155,15.0,3.0,0.0,2.0,1.0,0.8333333333333334,0.9166666666666667,0.5714285714285714,0.16666666666666666,0.0,,,,,0
127,False,19,17,2,0.4411764705882353,0.13333333333333333,0.20956896750958096,15.0,2.0,2.0,0.0,0.0,0.8823529411764706,0.4411764705882353,0.0,0.11764705882352941,1.0,,,,,0
014,False,18,18,0,,,,,,,,,,,,,,,,,,0
002,False,17,17,0,,,,,,,,,,,,,,,,,,0
129,False,17,15,2,0.9666666666666667,0.8333333333333333,0.08154269251729608,15.0,0.0,1.0,1.0,0.5,1.0,0.75,0.6666666666666666,0.0,0.5,,,,,0
021,False,16,16,0,,,,,,,,,,,,,,,,,,0
100,False,15,13,2,0.5384615384615384,0.2159090909090909,0.3516850675777062,9.0,4.0,1.0,1.0,0.5,0.6923076923076923,0.5961538461538461,0.2857142857142857,0.3076923076923077,0.5,,,,,0
006,False,14,9,5,0.8666666666666667,0.8211111111111111,0.20754463039092977,6.0,3.0,1.0,4.0,0.8,0.6666666666666666,0.7333333333333334,0.6666666666666666,0.3333333333333333,0.2,0.6444444444444444,1.0,0.5821666666666666,1.0,1000
011,False,12,10,2,0.9500000000000001,0.8333333333333333,0.14708816435560654,9.0,1.0,1.0,1.0,0.5,0.9,0.7,0.5,0.1,0.5,,,,,0
019,False,12,4,8,0.78125,0.9105519480519481,0.17870195647072415,2.0,2.0,1.0,7.0,0.875,0.5,0.6875,0.8235294117647058,0.5,0.125,0.46875,1.0,0.7820596590909092,1.0,1000
018,False,11,7,4,0.8214285714285714,0.7470238095238095,0.2677388113593343,3.0,4.0,0.0,4.0,1.0,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.0,0.5,1.0,0.4938392857142857,1.0,1000
020,False,11,11,0,,,,,,,,,,,,,,,,,,0
135,False,11,5,6,0.5666666666666667,0.6256313131313131,0.30087464021448745,3.0,2.0,3.0,3.0,0.5,0.6,0.55,0.5454545454545454,0.4,0.5,0.19999999999999998,0.9333333333333333,0.471969696969697,0.9525297619047618,1000
098,False,10,7,3,0.8095238095238095,0.5888888888888889,0.1914107651321601,6.0,1.0,2.0,1.0,0.3333333333333333,0.8571428571428571,0.5952380952380952,0.4,0.14285714285714285,0.6666666666666666,0.5238095238095238,1.0,0.38333333333333336,1.0,1000
099,False,10,10,0,,,,,,,,,,,,,,,,,,0
013,False,9,6,3,0.7777777777777778,0.7222222222222222,0.3725612991259216,1.0,5.0,0.0,3.0,1.0,0.16666666666666666,0.5833333333333334,0.5454545454545454,0.8333333333333334,0.0,0.33333333333333337,1.0,0.39682539682539686,1.0,1000
168,False,8,0,8,,,,,,,,,,,,,,,,,,0
305,False,7,4,3,0.8333333333333334,0.8055555555555556,0.18420717266547504,4.0,0.0,2.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.0,0.6666666666666666,0.5,1.0,0.5111111111111111,1.0,1000
031,False,6,5,1,0.0,0.16666666666666666,0.46882010742784125,2.0,3.0,1.0,0.0,0.0,0.4,0.2,0.0,0.6,1.0,,,,,0
123,False,6,4,2,0.375,0.3666666666666667,0.3601638289120224,1.0,3.0,1.0,1.0,0.5,0.25,0.375,0.3333333333333333,0.75,0.5,,,,,0
177,False,6,6,0,,,,,,,,,,,,,,,,,,0
126,False,5,3,2,0.33333333333333337,0.41666666666666663,0.22888488662568757,3.0,0.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,,,,,0
136,False,5,4,1,1.0,1.0,0.3438382165288961,1.0,3.0,0.0,1.0,1.0,0.25,0.625,0.4,0.75,0.0,,,,,0
005,False,4,4,0,,,,,,,,,,,,,,,,,,0
009,False,4,4,0,,,,,,,,,,,,,,,,,,0
029,False,4,4,0,,,,,,,,,,,,,,,,,,0
053,False,4,1,3,1.0,1.0,0.15899173267016173,0.0,1.0,0.0,3.0,1.0,0.0,0.5,0.8571428571428571,1.0,0.0,,,,,0
131,False,4,3,1,0.33333333333333337,0.3333333333333333,0.3402286427549117,2.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,,,,,0
301,False,4,3,1,0.33333333333333337,0.3333333333333333,0.44837063345886113,0.0,3.0,0.0,1.0,1.0,0.0,0.5,0.4,1.0,0.0,,,,,0
010,False,3,2,1,0.5,0.5,0.28962809992193256,2.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,,,,,0
024,False,3,3,0,,,,,,,,,,,,,,,,,,0
114,False,3,0,3,,,,,,,,,,,,,,,,,,0
012,False,2,2,0,,,,,,,,,,,,,,,,,,0
022,False,2,1,1,1.0,1.0,0.20111467488670018,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,0
057,False,2,0,2,,,,,,,,,,,,,,,,,,0
116,False,2,0,2,,,,,,,,,,,,,,,,,,0
128,False,2,2,0,,,,,,,,,,,,,,,,,,0
023,False,1,1,0,,,,,,,,,,,,,,,,,,0
082,False,1,0,1,,,,,,,,,,,,,,,,,,0
094,False,1,0,1,,,,,,,,,,,,,,,,,,0
