n_features,n_variable_features,n_carried_features,max_abs_diagonal_delta_adni,max_abs_diagonal_delta_oasis,max_abs_symmetry_error_adni,max_abs_symmetry_error_oasis,all_finite,neurocombat_stdout,channel_position,channel_name,arm,fold,batch_variable,batch_levels,ref_batch,preserved_covariates,excluded_covariates,oasis_labels_used_in_harmonizer,n_adni_train_dev,n_oasis
8515,8515,0,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,0,Pearson_Full_FisherZ_Signed,external_dataset_combat_no_reference,1,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,317,180
8515,7928,587,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,1,Pearson_OMST_GCE_Signed_Weighted,external_dataset_combat_no_reference,1,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,317,180
8515,8515,0,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,2,MI_KNN_Symmetric,external_dataset_combat_no_reference,1,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,317,180
8515,8515,0,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,0,Pearson_Full_FisherZ_Signed,external_dataset_combat_no_reference,2,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,317,180
8515,7928,587,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,1,Pearson_OMST_GCE_Signed_Weighted,external_dataset_combat_no_reference,2,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,317,180
8515,8515,0,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,2,MI_KNN_Symmetric,external_dataset_combat_no_reference,2,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,317,180
8515,8515,0,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,0,Pearson_Full_FisherZ_Signed,external_dataset_combat_no_reference,3,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,318,180
8515,7923,592,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,1,Pearson_OMST_GCE_Signed_Weighted,external_dataset_combat_no_reference,3,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,318,180
8515,8515,0,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,2,MI_KNN_Symmetric,external_dataset_combat_no_reference,3,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,318,180
8515,8515,0,0.0,0.0,0.0,0.0,True,[neuroCombat] Creating design matrix | [neuroCombat] Standardizing data across features | [neuroCombat] Fitting L/S model and finding priors | [neuroCombat] Finding parametric adjustments | [neuroCombat] Final adjustment of data,0,Pearson_Full_FisherZ_Signed,external_dataset_combat_no_reference,4,Dataset,ADNI;OASIS,none,Age+Sex,Diagnosis;ResearchGroup_Mapped,False,318,180
