comparison,arm,baseline,metric,baseline_value,external_batch_combat_value,observed_delta,bootstrap_mean_delta,ci_low_2p5,ci_high_97p5,p_delta_gt_0,n_bootstrap,seed
external_dataset_combat_adni_reference_minus_locked_frozen_transfer,external_dataset_combat_adni_reference,locked_frozen_transfer,roc_auc,0.6477777777777778,0.6455555555555555,-0.0022222222222222365,-0.0022314567901234555,-0.012839506172839577,0.008395061728395103,0.3364,10000,20260710
external_dataset_combat_adni_reference_minus_locked_frozen_transfer,external_dataset_combat_adni_reference,locked_frozen_transfer,pr_auc,0.6678376160483931,0.6664168518083216,-0.001420764240071537,-0.001104209074559795,-0.016337078763937012,0.012802336952587137,0.4479,10000,20260710
external_dataset_combat_adni_reference_minus_locked_frozen_transfer,external_dataset_combat_adni_reference,locked_frozen_transfer,balanced_accuracy,0.5666666666666667,0.6111111111111112,0.04444444444444451,0.0445,-0.011111111111111072,0.09999999999999998,0.938,10000,20260710
external_dataset_combat_adni_reference_minus_locked_frozen_transfer,external_dataset_combat_adni_reference,locked_frozen_transfer,sensitivity,0.26666666666666666,0.4777777777777778,0.21111111111111114,0.21105444444444443,0.1333333333333333,0.3,1.0,10000,20260710
external_dataset_combat_adni_reference_minus_locked_frozen_transfer,external_dataset_combat_adni_reference,locked_frozen_transfer,specificity,0.8666666666666667,0.7444444444444445,-0.12222222222222223,-0.12205444444444445,-0.18888888888888888,-0.05555555555555558,0.0,10000,20260710
external_dataset_combat_adni_reference_minus_locked_frozen_transfer,external_dataset_combat_adni_reference,locked_frozen_transfer,brier_score,0.25811285279728746,0.25131290156368435,-0.006799951233603108,-0.006794000328905966,-0.017123733413169934,0.0036642082742575043,0.1016,10000,20260710
external_dataset_combat_adni_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_adni_reference,previous_adni_fitted_siemens_combat,roc_auc,0.6460493827160495,0.6455555555555555,-0.0004938271604939537,-0.0005982839506172833,-0.017410493827160613,0.016913580246913584,0.4683,10000,20260710
external_dataset_combat_adni_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_adni_reference,previous_adni_fitted_siemens_combat,pr_auc,0.6478341683402,0.6664168518083216,0.01858268346812153,0.016220150374219026,-0.006401055509177582,0.040651845227095244,0.9091,10000,20260710
external_dataset_combat_adni_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_adni_reference,previous_adni_fitted_siemens_combat,balanced_accuracy,0.5833333333333333,0.6111111111111112,0.0277777777777779,0.02752111111111111,-0.01666666666666672,0.07222222222222219,0.8685,10000,20260710
external_dataset_combat_adni_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_adni_reference,previous_adni_fitted_siemens_combat,sensitivity,0.34444444444444444,0.4777777777777778,0.13333333333333336,0.13329444444444444,0.06666666666666665,0.21111111111111108,1.0,10000,20260710
external_dataset_combat_adni_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_adni_reference,previous_adni_fitted_siemens_combat,specificity,0.8222222222222222,0.7444444444444445,-0.07777777777777772,-0.07825222222222222,-0.13333333333333341,-0.033333333333333326,0.0,10000,20260710
external_dataset_combat_adni_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_adni_reference,previous_adni_fitted_siemens_combat,brier_score,0.2574862864089982,0.25131290156368435,-0.006173384845313823,-0.00608325314117184,-0.01683317470291291,0.004403712611519076,0.1333,10000,20260710
external_dataset_combat_no_reference_minus_locked_frozen_transfer,external_dataset_combat_no_reference,locked_frozen_transfer,roc_auc,0.6477777777777778,0.6461728395061728,-0.0016049382716050165,-0.0015818765432098743,-0.008765432098765458,0.00543209876543205,0.3279,10000,20260710
external_dataset_combat_no_reference_minus_locked_frozen_transfer,external_dataset_combat_no_reference,locked_frozen_transfer,pr_auc,0.6678376160483931,0.6657195899892814,-0.0021180260591117106,-0.0017646027658456162,-0.013643692758396555,0.007587610720647866,0.3866,10000,20260710
external_dataset_combat_no_reference_minus_locked_frozen_transfer,external_dataset_combat_no_reference,locked_frozen_transfer,balanced_accuracy,0.5666666666666667,0.5777777777777777,0.011111111111111072,0.011206111111111118,-0.033333333333333326,0.05555555555555558,0.6588,10000,20260710
external_dataset_combat_no_reference_minus_locked_frozen_transfer,external_dataset_combat_no_reference,locked_frozen_transfer,sensitivity,0.26666666666666666,0.37777777777777777,0.1111111111111111,0.11135222222222224,0.055555555555555525,0.1777777777777778,1.0,10000,20260710
external_dataset_combat_no_reference_minus_locked_frozen_transfer,external_dataset_combat_no_reference,locked_frozen_transfer,specificity,0.8666666666666667,0.7777777777777778,-0.0888888888888889,-0.08893999999999999,-0.15555555555555556,-0.033333333333333326,0.0,10000,20260710
external_dataset_combat_no_reference_minus_locked_frozen_transfer,external_dataset_combat_no_reference,locked_frozen_transfer,brier_score,0.25811285279728746,0.2510618225009568,-0.00705103029633064,-0.007070928914870613,-0.013426263002525984,-0.0007616689078398176,0.0157,10000,20260710
external_dataset_combat_no_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_no_reference,previous_adni_fitted_siemens_combat,roc_auc,0.6460493827160495,0.6461728395061728,0.00012345679012326638,-2.640740740740764e-05,-0.017777777777777674,0.01815123456790128,0.4944,10000,20260710
external_dataset_combat_no_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_no_reference,previous_adni_fitted_siemens_combat,pr_auc,0.6478341683402,0.6657195899892814,0.017885421649081357,0.015698237214402642,-0.006957030829649432,0.03952934012827109,0.9103,10000,20260710
external_dataset_combat_no_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_no_reference,previous_adni_fitted_siemens_combat,balanced_accuracy,0.5833333333333333,0.5777777777777777,-0.005555555555555536,-0.005543888888888888,-0.04999999999999993,0.03333333333333344,0.3574,10000,20260710
external_dataset_combat_no_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_no_reference,previous_adni_fitted_siemens_combat,sensitivity,0.34444444444444444,0.37777777777777777,0.033333333333333326,0.03355,-0.0222222222222222,0.0888888888888889,0.8359,10000,20260710
external_dataset_combat_no_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_no_reference,previous_adni_fitted_siemens_combat,specificity,0.8222222222222222,0.7777777777777778,-0.0444444444444444,-0.044637777777777776,-0.11111111111111105,0.011111111111111183,0.0475,10000,20260710
external_dataset_combat_no_reference_minus_previous_adni_fitted_siemens_combat,external_dataset_combat_no_reference,previous_adni_fitted_siemens_combat,brier_score,0.2574862864089982,0.2510618225009568,-0.006424463908041356,-0.006420373396796937,-0.015025607201437016,0.0018441694361406192,0.0649,10000,20260710
