arm,label,cdr_group,cdr_ordinal,n,score_mean,score_sd,score_median,score_iqr,spearman_rho_score_vs_ordinal_cdr,spearman_pvalue,kruskal_wallis_statistic,kruskal_wallis_pvalue,mannwhitney_p_CDR_0_vs_CDR_0.5,mannwhitney_p_CDR_0.5_vs_CDR_ge_1,mannwhitney_p_CDR_0_vs_CDR_ge_1
locked_frozen_transfer,Locked frozen transfer,CDR 0,0,89,0.31898254698212647,0.21247944910631428,0.2727799721680128,0.3297686933195537,0.27898767164426524,0.00014912814012290877,14.305939080611552,0.0007825368528963701,0.06582727652046302,0.07971827360113493,0.0001709910429290496
locked_frozen_transfer,Locked frozen transfer,CDR 0.5,1,52,0.403236851792132,0.249591456599146,0.36260343936772665,0.34794401296665123,0.27898767164426524,0.00014912814012290877,14.305939080611552,0.0007825368528963701,0.06582727652046302,0.07971827360113493,0.0001709910429290496
locked_frozen_transfer,Locked frozen transfer,CDR >= 1,2,39,0.49084790018054464,0.23940285476723083,0.4453040207463895,0.35906608982061894,0.27898767164426524,0.00014912814012290877,14.305939080611552,0.0007825368528963701,0.06582727652046302,0.07971827360113493,0.0001709910429290496
previous_adni_fitted_siemens_combat,Previous ADNI-fitted Siemens-ComBat,CDR 0,0,89,0.3395929046175673,0.23404880859282604,0.3003387475836064,0.332390414511052,0.27052898858716656,0.00023974822064880852,13.250104469922576,0.0013267111285125617,0.04958580274635457,0.12263469700525458,0.0003832710920617147
previous_adni_fitted_siemens_combat,Previous ADNI-fitted Siemens-ComBat,CDR 0.5,1,52,0.4283931791987957,0.25289550279144746,0.4048783959818557,0.4176864977729252,0.27052898858716656,0.00023974822064880852,13.250104469922576,0.0013267111285125617,0.04958580274635457,0.12263469700525458,0.0003832710920617147
previous_adni_fitted_siemens_combat,Previous ADNI-fitted Siemens-ComBat,CDR >= 1,2,39,0.5158032055745911,0.251722516540256,0.4963679957629964,0.36384343195383745,0.27052898858716656,0.00023974822064880852,13.250104469922576,0.0013267111285125617,0.04958580274635457,0.12263469700525458,0.0003832710920617147
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",CDR 0,0,89,0.4371714209597374,0.24957251699419972,0.4279918581158937,0.3889571634983663,0.2767165762462431,0.00016965911919605302,14.039403651300745,0.0008940920484219463,0.06645757186757364,0.09137960290888185,0.00018956340173967724
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",CDR 0.5,1,52,0.5265918792430029,0.26939930354084757,0.5055974560174339,0.43101089175899737,0.2767165762462431,0.00016965911919605302,14.039403651300745,0.0008940920484219463,0.06645757186757364,0.09137960290888185,0.00018956340173967724
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",CDR >= 1,2,39,0.6239047829683758,0.23649903400405115,0.6189167575087171,0.3575767450137209,0.2767165762462431,0.00016965911919605302,14.039403651300745,0.0008940920484219463,0.06645757186757364,0.09137960290888185,0.00018956340173967724
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference",CDR 0,0,89,0.389489554643372,0.23705396853681854,0.3716203381191077,0.375049117588513,0.27793887105878134,0.00015830289075828273,14.215915905161069,0.0008185648347843339,0.06902865335058156,0.07971827360113493,0.00017456278711902953
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference",CDR 0.5,1,52,0.47692697891189945,0.26478010226696197,0.4476206182243714,0.41498989723246094,0.27793887105878134,0.00015830289075828273,14.215915905161069,0.0008185648347843339,0.06902865335058156,0.07971827360113493,0.00017456278711902953
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference",CDR >= 1,2,39,0.5729987447349398,0.24158047057855486,0.5497931382527074,0.37594286118398046,0.27793887105878134,0.00015830289075828273,14.215915905161069,0.0008185648347843339,0.06902865335058156,0.07971827360113493,0.00017456278711902953
