SiteCode,GE,Philips,SIEMENS
002,0,16,14
003,0,0,30
005,5,0,0
006,0,32,0
009,4,0,0
010,1,3,0
011,0,0,15
012,0,7,3
013,0,17,7
014,0,0,22
018,0,19,0
019,0,22,0
020,0,0,11
021,18,0,0
022,0,0,6
023,0,0,1
024,0,0,5
027,21,0,0
029,4,0,0
031,0,20,0
032,0,0,19
035,0,0,32
037,0,0,6
041,0,0,8
053,0,13,0
057,2,0,0
068,0,0,7
082,0,0,2
094,0,0,3
098,10,0,0
099,11,0,0
100,0,20,0
109,0,0,1
114,0,0,6
116,0,0,3
123,0,10,0
126,9,0,0
127,25,0,0
128,7,0,0
129,18,0,0
130,0,55,0
131,0,8,0
135,15,0,0
136,0,11,0
141,0,0,2
168,0,0,8
177,0,6,0
301,0,11,0
305,0,14,0
941,0,0,2
