SiteCode,1,2,3,4,5
002,3,3,3,4,4
003,3,3,6,3,5
005,2,0,0,1,1
006,4,3,4,1,2
009,1,1,0,2,0
010,0,1,1,1,0
011,0,1,3,4,4
012,1,0,0,0,1
013,1,1,1,5,1
014,4,4,2,4,4
018,3,3,0,2,3
019,3,3,1,3,2
020,2,3,3,2,1
021,3,1,3,3,6
022,0,1,1,0,0
023,0,0,1,0,0
024,2,1,0,0,0
027,5,3,3,1,5
029,0,1,2,1,0
031,1,1,1,2,1
032,4,2,3,4,2
035,4,5,4,2,5
053,1,2,0,0,1
057,1,0,0,0,1
082,0,0,0,0,1
094,0,0,0,0,1
098,3,2,3,1,1
099,0,3,2,4,1
100,4,4,3,2,2
114,0,0,1,1,1
116,1,1,0,0,0
123,2,3,1,0,0
126,0,3,2,0,0
127,4,2,5,6,2
128,0,0,0,0,2
129,1,6,3,2,5
130,4,4,10,10,6
131,1,0,1,1,1
135,5,3,1,2,0
136,0,1,1,1,2
168,4,1,0,2,1
177,0,2,1,1,2
301,2,1,1,0,0
305,1,1,2,1,2
