SiteCode,total_n,cn_n,ad_n,mci_n,manufacturer_n,supervised_n,supervised_cn_n,supervised_ad_n,test_n,geometry_supported,site_auc_supported,loso_supported
130,55,21,13,21,1,34.0,21.0,13.0,34.0,True,True,True
006,32,9,5,18,1,14.0,9.0,5.0,14.0,True,False,False
035,32,15,5,12,1,20.0,15.0,5.0,20.0,True,True,True
002,30,17,0,13,2,17.0,17.0,0.0,17.0,True,False,False
003,30,18,2,10,1,20.0,18.0,2.0,20.0,True,False,False
127,25,17,2,6,1,19.0,17.0,2.0,19.0,True,False,False
013,24,6,3,15,2,9.0,6.0,3.0,9.0,False,False,False
014,22,18,0,4,1,18.0,18.0,0.0,18.0,True,False,False
019,22,4,8,10,1,12.0,4.0,8.0,12.0,True,False,False
027,21,13,4,4,1,17.0,13.0,4.0,17.0,True,True,False
031,20,5,1,14,1,6.0,5.0,1.0,6.0,False,False,False
100,20,13,2,5,1,15.0,13.0,2.0,15.0,True,False,False
018,19,7,4,8,1,11.0,7.0,4.0,11.0,True,False,False
032,19,12,3,4,1,15.0,12.0,3.0,15.0,True,True,False
021,18,16,0,2,1,16.0,16.0,0.0,16.0,True,False,False
129,18,15,2,1,1,17.0,15.0,2.0,17.0,True,False,False
011,15,10,2,3,1,12.0,10.0,2.0,12.0,True,False,False
135,15,5,6,4,1,11.0,5.0,6.0,11.0,True,False,False
305,14,4,3,7,1,7.0,4.0,3.0,7.0,False,False,False
053,13,1,3,9,1,4.0,1.0,3.0,4.0,False,False,False
020,11,11,0,0,1,11.0,11.0,0.0,11.0,True,False,False
099,11,10,0,1,1,10.0,10.0,0.0,10.0,True,False,False
136,11,4,1,6,1,5.0,4.0,1.0,5.0,False,False,False
301,11,3,1,7,1,4.0,3.0,1.0,4.0,False,False,False
012,10,2,0,8,2,2.0,2.0,0.0,2.0,False,False,False
098,10,7,3,0,1,10.0,7.0,3.0,10.0,True,False,False
123,10,4,2,4,1,6.0,4.0,2.0,6.0,False,False,False
126,9,3,2,4,1,5.0,3.0,2.0,5.0,False,False,False
041,8,0,0,8,1,0.0,0.0,0.0,0.0,False,False,False
131,8,3,1,4,1,4.0,3.0,1.0,4.0,False,False,False
168,8,0,8,0,1,8.0,0.0,8.0,8.0,False,False,False
068,7,0,0,7,1,0.0,0.0,0.0,0.0,False,False,False
128,7,2,0,5,1,2.0,2.0,0.0,2.0,False,False,False
022,6,1,1,4,1,2.0,1.0,1.0,2.0,False,False,False
037,6,0,0,6,1,0.0,0.0,0.0,0.0,False,False,False
114,6,0,3,3,1,3.0,0.0,3.0,3.0,False,False,False
177,6,6,0,0,1,6.0,6.0,0.0,6.0,False,False,False
005,5,4,0,1,1,4.0,4.0,0.0,4.0,False,False,False
024,5,3,0,2,1,3.0,3.0,0.0,3.0,False,False,False
009,4,4,0,0,1,4.0,4.0,0.0,4.0,False,False,False
010,4,2,1,1,2,3.0,2.0,1.0,3.0,False,False,False
029,4,4,0,0,1,4.0,4.0,0.0,4.0,False,False,False
094,3,0,1,2,1,1.0,0.0,1.0,1.0,False,False,False
116,3,0,2,1,1,2.0,0.0,2.0,2.0,False,False,False
057,2,0,2,0,1,2.0,0.0,2.0,2.0,False,False,False
082,2,0,1,1,1,1.0,0.0,1.0,1.0,False,False,False
141,2,0,0,2,1,0.0,0.0,0.0,0.0,False,False,False
941,2,0,0,2,1,0.0,0.0,0.0,0.0,False,False,False
023,1,1,0,0,1,1.0,1.0,0.0,1.0,False,False,False
109,1,0,0,1,1,0.0,0.0,0.0,0.0,False,False,False
