table,arm,metric,value,ci_low_2p5,ci_high_97p5,secondary_arm,fold
arm_summary,locked_frozen_transfer,marginal_standardized_shift,-0.9347965349458239,-1.0624944158774745,-0.8089483062546746,False,
arm_summary,locked_frozen_transfer,cn_shift,-1.1618190026183302,-1.3342299012000538,-0.9839934988107634,False,
arm_summary,locked_frozen_transfer,ad_shift,-0.7077740672733179,-0.8853926273229574,-0.5283375598819606,False,
arm_summary,locked_frozen_transfer,ad_minus_cn_standardized_separation,0.4540449353450122,0.200801451986391,0.7041532144028358,False,
arm_summary,locked_frozen_transfer,cohen_d,0.5178041537934676,0.23168010500410155,0.8147143447940975,False,
arm_summary,locked_frozen_transfer,projected_auc,0.6371604938271606,0.5546882716049383,0.7147037037037036,False,
arm_summary,external_dataset_combat_adni_reference,marginal_standardized_shift,-0.4728498957296435,-0.6109265934715399,-0.33654093202154406,False,
arm_summary,external_dataset_combat_adni_reference,cn_shift,-0.7197827365150951,-0.9120614418033827,-0.527748182817168,False,
arm_summary,external_dataset_combat_adni_reference,ad_shift,-0.22591705494419195,-0.42006510343983894,-0.031713505742986314,False,
arm_summary,external_dataset_combat_adni_reference,ad_minus_cn_standardized_separation,0.4938656815709031,0.21823296638416487,0.7667327573641222,False,
arm_summary,external_dataset_combat_adni_reference,cohen_d,0.5193528459561186,0.23353620062315858,0.8183020389004008,False,
arm_summary,external_dataset_combat_adni_reference,projected_auc,0.6369135802469136,0.555182098765432,0.7153086419753086,False,
arm_summary,external_dataset_combat_no_reference,marginal_standardized_shift,-0.6612865006069073,-0.7972691791938753,-0.528278435121784,True,
arm_summary,external_dataset_combat_no_reference,cn_shift,-0.9014585151129323,-1.0861353667544602,-0.7132350579951884,True,
arm_summary,external_dataset_combat_no_reference,ad_shift,-0.4211144861008824,-0.610392261146046,-0.23079734397678714,True,
arm_summary,external_dataset_combat_no_reference,ad_minus_cn_standardized_separation,0.48034402901204987,0.2117542424565177,0.7468355367709834,True,
arm_summary,external_dataset_combat_no_reference,cohen_d,0.517120285758947,0.23107989424068529,0.8160373069792256,True,
arm_summary,external_dataset_combat_no_reference,projected_auc,0.637037037037037,0.5553055555555555,0.7153086419753086,True,
paired_delta_vs_locked,external_dataset_combat_adni_reference,marginal_standardized_shift,0.46194663921618045,0.4434450983547711,0.4806918093432101,False,
paired_delta_vs_locked,external_dataset_combat_adni_reference,cn_shift,0.4420362661032351,0.41488370522559276,0.4686323505976862,False,
paired_delta_vs_locked,external_dataset_combat_adni_reference,ad_shift,0.481857012329126,0.45702438433306103,0.5070672604142489,False,
paired_delta_vs_locked,external_dataset_combat_adni_reference,ad_minus_cn_standardized_separation,0.03982074622589088,0.003945955410682031,0.07681258039456884,False,
paired_delta_vs_locked,external_dataset_combat_adni_reference,cohen_d,0.0015486921626510775,-0.0312542696018383,0.034802636265153154,False,
paired_delta_vs_locked,external_dataset_combat_adni_reference,projected_auc,-0.00024691358024697685,-0.010000000000000009,0.009629629629629544,False,
paired_delta_vs_locked,external_dataset_combat_no_reference,marginal_standardized_shift,0.27351003433891663,0.2617376246516799,0.28536930219717155,True,
paired_delta_vs_locked,external_dataset_combat_no_reference,cn_shift,0.26036048750539786,0.24344444871388995,0.2772684336146287,True,
paired_delta_vs_locked,external_dataset_combat_no_reference,ad_shift,0.2866595811724355,0.2704668841997927,0.30271426686943564,True,
paired_delta_vs_locked,external_dataset_combat_no_reference,ad_minus_cn_standardized_separation,0.026299093667037643,0.003199036128513847,0.04948753400550787,True,
paired_delta_vs_locked,external_dataset_combat_no_reference,cohen_d,-0.000683868034520585,-0.020431598674668688,0.019562546755212774,True,
paired_delta_vs_locked,external_dataset_combat_no_reference,projected_auc,-0.00012345679012359945,-0.005925925925926001,0.005679012345678913,True,
fold_axis_audit,ADNI_trainDev_axis,adni_standardized_ad_minus_cn,1.944334423942716,,,False,1.0
fold_axis_audit,ADNI_trainDev_axis,adni_standardized_ad_minus_cn,1.7086171830351584,,,False,2.0
fold_axis_audit,ADNI_trainDev_axis,adni_standardized_ad_minus_cn,1.8181874126192263,,,False,3.0
fold_axis_audit,ADNI_trainDev_axis,adni_standardized_ad_minus_cn,1.9349171195911288,,,False,4.0
fold_axis_audit,ADNI_trainDev_axis,adni_standardized_ad_minus_cn,1.7168695681894324,,,False,5.0
