arm,arm_label,secondary_arm,metric,arm_value,locked_value,delta_vs_locked,delta_ci_low_2p5,delta_ci_high_97p5,bootstrap_type,n_bootstrap,bootstrap_seed
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",False,marginal_standardized_shift,-0.4728498957296435,-0.9347965349458239,0.46194663921618045,0.4434450983547711,0.4806918093432101,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",False,cn_shift,-0.7197827365150951,-1.1618190026183302,0.4420362661032351,0.41488370522559276,0.4686323505976862,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",False,ad_shift,-0.22591705494419195,-0.7077740672733179,0.481857012329126,0.45702438433306103,0.5070672604142489,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",False,ad_minus_cn_standardized_separation,0.4938656815709031,0.4540449353450122,0.03982074622589088,0.003945955410682031,0.07681258039456884,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",False,cohen_d,0.5193528459561186,0.5178041537934676,0.0015486921626510775,-0.0312542696018383,0.034802636265153154,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_adni_reference,"External Dataset-ComBat, ADNI reference",False,projected_auc,0.6369135802469136,0.6371604938271606,-0.00024691358024697685,-0.010000000000000009,0.009629629629629544,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference (secondary)",True,marginal_standardized_shift,-0.6612865006069073,-0.9347965349458239,0.27351003433891663,0.2617376246516799,0.28536930219717155,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference (secondary)",True,cn_shift,-0.9014585151129323,-1.1618190026183302,0.26036048750539786,0.24344444871388995,0.2772684336146287,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference (secondary)",True,ad_shift,-0.4211144861008824,-0.7077740672733179,0.2866595811724355,0.2704668841997927,0.30271426686943564,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference (secondary)",True,ad_minus_cn_standardized_separation,0.48034402901204987,0.4540449353450122,0.026299093667037643,0.003199036128513847,0.04948753400550787,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference (secondary)",True,cohen_d,0.517120285758947,0.5178041537934676,-0.000683868034520585,-0.020431598674668688,0.019562546755212774,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
external_dataset_combat_no_reference,"External Dataset-ComBat, no reference (secondary)",True,projected_auc,0.637037037037037,0.6371604938271606,-0.00012345679012359945,-0.005925925925926001,0.005679012345678913,paired diagnosis-stratified subject bootstrap over OASIS subjects,10000,20260712
